,,Fecal Coliform
,,(#/100 mL)
Site,Date,Top
BB2,2016-04-27 00:00:00,370
BB4,2016-04-27 00:00:00,760
CIC2,2016-04-27 00:00:00,380
CIC3,2016-04-27 00:00:00,207
J7,2016-04-27 00:00:00,244
GC3,2016-04-21 00:00:00,15
GC4,2016-04-21 00:00:00,4
GC5,2016-04-21 00:00:00,4
GC6,2016-04-21 00:00:00,38
GC3,2016-04-14 00:00:00,23
GC4,2016-04-14 00:00:00,4
GC5,2016-04-14 00:00:00,4
GC6,2016-04-14 00:00:00,80
F1,2016-04-13 00:00:00,9
F5,2016-04-13 00:00:00,10
HC1,2016-04-13 00:00:00,10
HC2,2016-04-13 00:00:00,9
HC3,2016-04-13 00:00:00,18
CIC2,2016-04-06 00:00:00,3400
GC3,2016-04-06 00:00:00,54
GC4,2016-04-06 00:00:00,9
GC5,2016-04-06 00:00:00,45
GC6,2016-04-06 00:00:00,27
SP1,2016-04-06 00:00:00,18
E12,2016-04-05 00:00:00,108
E13,2016-04-05 00:00:00,116
HR03,2016-04-05 00:00:00,960
HR1,2016-04-05 00:00:00,780
HR2,2016-04-05 00:00:00,670
WC1,2016-04-05 00:00:00,2200
WC2,2016-04-05 00:00:00,3500
WC3,2016-04-05 00:00:00,45
AC1,2016-04-04 00:00:00,360
AC2,2016-04-04 00:00:00,220
BR1,2016-04-04 00:00:00,3700
BR3,2016-04-04 00:00:00,470
GC3,2016-03-31 00:00:00,15
GC4,2016-03-31 00:00:00,11
GC5,2016-03-31 00:00:00,15
GC6,2016-03-31 00:00:00,42
BB2,2016-03-30 00:00:00,1100
BB4,2016-03-30 00:00:00,135
CIC2,2016-03-30 00:00:00,5850
CIC3,2016-03-30 00:00:00,90
J7,2016-03-30 00:00:00,17
GC3,2016-03-24 00:00:00,4
GC4,2016-03-24 00:00:00,4
GC5,2016-03-24 00:00:00,19
GC6,2016-03-24 00:00:00,4
GC3,2016-03-17 00:00:00,34
GC4,2016-03-17 00:00:00,27
GC5,2016-03-17 00:00:00,31
GC6,2016-03-17 00:00:00,172
BB2,2016-03-16 00:00:00,680
BB4,2016-03-16 00:00:00,54
CIC3,2016-03-16 00:00:00,162
GB1,2016-03-16 00:00:00,140
J1,2016-03-16 00:00:00,4
J10,2016-03-16 00:00:00,3
J11,2016-03-16 00:00:00,6
J12,2016-03-16 00:00:00,5
J2,2016-03-16 00:00:00,3
J3,2016-03-16 00:00:00,11
J5,2016-03-16 00:00:00,4
J7,2016-03-16 00:00:00,6
J8,2016-03-16 00:00:00,31
J9A,2016-03-16 00:00:00,3
JA1,2016-03-16 00:00:00,14
N16,2016-03-16 00:00:00,9
N9,2016-03-16 00:00:00,15
N9A,2016-03-16 00:00:00,1
PB2,2016-03-16 00:00:00,8
PB3,2016-03-16 00:00:00,19
SP2,2016-03-16 00:00:00,14
G2,2016-03-15 00:00:00,58
K1,2016-03-15 00:00:00,84
K2,2016-03-15 00:00:00,112
K3,2016-03-15 00:00:00,184
K4,2016-03-15 00:00:00,168
K5,2016-03-15 00:00:00,58
K5A,2016-03-15 00:00:00,31
K6,2016-03-15 00:00:00,8
N6,2016-03-15 00:00:00,10
N7,2016-03-15 00:00:00,65
N8,2016-03-15 00:00:00,48
NC0,2016-03-15 00:00:00,9200
NC1,2016-03-15 00:00:00,3900
NC2,2016-03-15 00:00:00,860
NC3,2016-03-15 00:00:00,530
BR5,2016-03-14 00:00:00,300
E10,2016-03-14 00:00:00,NS
E11,2016-03-14 00:00:00,4
E14,2016-03-14 00:00:00,58
E15,2016-03-14 00:00:00,220
E2,2016-03-14 00:00:00,42
E4,2016-03-14 00:00:00,104
E6,2016-03-14 00:00:00,54
E7,2016-03-14 00:00:00,60
E8,2016-03-14 00:00:00,11
FB1,2016-03-14 00:00:00,110
FLC1,2016-03-14 00:00:00,340
FLC2,2016-03-14 00:00:00,490
H3,2016-03-14 00:00:00,50
LN1,2016-03-14 00:00:00,120
N1,2016-03-14 00:00:00,92
N3B,2016-03-14 00:00:00,38
N4,2016-03-14 00:00:00,25
N5,2016-03-14 00:00:00,5
NR1,2016-03-14 00:00:00,30
F1,2016-03-10 00:00:00,15
F5,2016-03-10 00:00:00,2
HC1,2016-03-10 00:00:00,26
HC2,2016-03-10 00:00:00,6
HC3,2016-03-10 00:00:00,9
AC1,2016-03-09 00:00:00,11
AC2,2016-03-09 00:00:00,6000
BR1,2016-03-09 00:00:00,228
BR3,2016-03-09 00:00:00,42
E12,2016-03-09 00:00:00,4
E13,2016-03-09 00:00:00,5
HR03,2016-03-09 00:00:00,78
HR1,2016-03-09 00:00:00,4
HR2,2016-03-09 00:00:00,88
WC1,2016-03-09 00:00:00,31
WC2,2016-03-09 00:00:00,116
WC3,2016-03-09 00:00:00,3
CIC2,2016-03-08 00:00:00,8800
GC3,2016-03-08 00:00:00,8
GC4,2016-03-08 00:00:00,4
GC5,2016-03-08 00:00:00,11
GC6,2016-03-08 00:00:00,50
SP1,2016-03-08 00:00:00,NS
CIC2,2016-02-10 00:00:00,23000
GC3,2016-02-10 00:00:00,23
GC4,2016-02-10 00:00:00,27
GC5,2016-02-10 00:00:00,19
GC6,2016-02-10 00:00:00,42
SP1,2016-02-10 00:00:00,22
AC1,2016-02-09 00:00:00,168
AC2,2016-02-09 00:00:00,328
BR1,2016-02-09 00:00:00,388
BR3,2016-02-09 00:00:00,132
E11,2016-02-09 00:00:00,60
E12,2016-02-09 00:00:00,3
E13,2016-02-09 00:00:00,28
HR03,2016-02-09 00:00:00,192
HR1,2016-02-09 00:00:00,80
HR2,2016-02-09 00:00:00,270
LN1,2016-02-09 00:00:00,70
WC1,2016-02-09 00:00:00,80
WC2,2016-02-09 00:00:00,94
WC3,2016-02-09 00:00:00,5
G2,2016-02-03 00:00:00,15
K1,2016-02-03 00:00:00,8
K2,2016-02-03 00:00:00,28
K3,2016-02-03 00:00:00,60
K4,2016-02-03 00:00:00,55
K5,2016-02-03 00:00:00,490
K5A,2016-02-03 00:00:00,40
K6,2016-02-03 00:00:00,NS
N6,2016-02-03 00:00:00,5
N7,2016-02-03 00:00:00,20
N8,2016-02-03 00:00:00,5
NC0,2016-02-03 00:00:00,300
NC1,2016-02-03 00:00:00,140
NC2,2016-02-03 00:00:00,69
NC3,2016-02-03 00:00:00,144
BB2,2016-02-02 00:00:00,18
BB4,2016-02-02 00:00:00,10
CIC3,2016-02-02 00:00:00,520
GB1,2016-02-02 00:00:00,18
J1,2016-02-02 00:00:00,1
J10,2016-02-02 00:00:00,9
J11,2016-02-02 00:00:00,62
J12,2016-02-02 00:00:00,1
J2,2016-02-02 00:00:00,6
J3,2016-02-02 00:00:00,8
J5,2016-02-02 00:00:00,1
J7,2016-02-02 00:00:00,8
J8,2016-02-02 00:00:00,14
J9A,2016-02-02 00:00:00,20
JA1,2016-02-02 00:00:00,6
N16,2016-02-02 00:00:00,3
N9,2016-02-02 00:00:00,10
N9A,2016-02-02 00:00:00,5
PB2,2016-02-02 00:00:00,8
PB3,2016-02-02 00:00:00,1
SP2,2016-02-02 00:00:00,10
BR5,2016-02-01 00:00:00,13
E10,2016-02-01 00:00:00,3
E11,2016-02-01 00:00:00,13
E14,2016-02-01 00:00:00,9
E15,2016-02-01 00:00:00,42
E2,2016-02-01 00:00:00,9
E4,2016-02-01 00:00:00,9
E6,2016-02-01 00:00:00,1
E7,2016-02-01 00:00:00,9
E8,2016-02-01 00:00:00,9
FB1,2016-02-01 00:00:00,3
FLC1,2016-02-01 00:00:00,136
FLC2,2016-02-01 00:00:00,156
H3,2016-02-01 00:00:00,20
LN1,2016-02-01 00:00:00,20
N1,2016-02-01 00:00:00,112
N3B,2016-02-01 00:00:00,54
N4,2016-02-01 00:00:00,34
N5,2016-02-01 00:00:00,28
NR1,2016-02-01 00:00:00,78
F1,2016-01-28 00:00:00,8
F5,2016-01-28 00:00:00,14
HC1,2016-01-28 00:00:00,9
HC2,2016-01-28 00:00:00,2
CIC2,2016-01-19 00:00:00,33000
GC3,2016-01-19 00:00:00,6500
GC4,2016-01-19 00:00:00,22000
GC5,2016-01-19 00:00:00,24000
GC6,2016-01-19 00:00:00,550
SP1,2016-01-19 00:00:00,NS
E11,2016-01-12 00:00:00,180
E12,2016-01-12 00:00:00,108
E13,2016-01-12 00:00:00,356
HR03,2016-01-12 00:00:00,770
HR1,2016-01-12 00:00:00,240
HR2,2016-01-12 00:00:00,2100
LN1,2016-01-12 00:00:00,260
WC1,2016-01-12 00:00:00,450
WC2,2016-01-12 00:00:00,3000
WC3,2016-01-12 00:00:00,330
G2,2016-01-11 00:00:00,320
K1,2016-01-11 00:00:00,285
K2,2016-01-11 00:00:00,360
K3,2016-01-11 00:00:00,470
K4,2016-01-11 00:00:00,590
K5,2016-01-11 00:00:00,340
K5A,2016-01-11 00:00:00,480
K6,2016-01-11 00:00:00,NS
N6,2016-01-11 00:00:00,148
N7,2016-01-11 00:00:00,218
N8,2016-01-11 00:00:00,180
NC0,2016-01-11 00:00:00,22000
NC1,2016-01-11 00:00:00,18000
NC2,2016-01-11 00:00:00,3800
NC3,2016-01-11 00:00:00,570
BB2,2016-01-05 00:00:00,99
BB4,2016-01-05 00:00:00,72
CIC3,2016-01-05 00:00:00,2250
GB1,2016-01-05 00:00:00,34
J1,2016-01-05 00:00:00,6
J10,2016-01-05 00:00:00,6
J11,2016-01-05 00:00:00,74
J12,2016-01-05 00:00:00,9
J2,2016-01-05 00:00:00,9
J3,2016-01-05 00:00:00,4
J5,2016-01-05 00:00:00,16
J7,2016-01-05 00:00:00,53
J8,2016-01-05 00:00:00,44
J9A,2016-01-05 00:00:00,25
JA1,2016-01-05 00:00:00,6
N16,2016-01-05 00:00:00,5
N9,2016-01-05 00:00:00,8
N9A,2016-01-05 00:00:00,3
PB2,2016-01-05 00:00:00,12
PB3,2016-01-05 00:00:00,4
SP2,2016-01-05 00:00:00,52
BR5,2016-01-04 00:00:00,37
E10,2016-01-04 00:00:00,7
E11,2016-01-04 00:00:00,27
E14,2016-01-04 00:00:00,9
E15,2016-01-04 00:00:00,1000
E2,2016-01-04 00:00:00,11
E4,2016-01-04 00:00:00,9
E6,2016-01-04 00:00:00,15
E7,2016-01-04 00:00:00,9
E8,2016-01-04 00:00:00,24
FB1,2016-01-04 00:00:00,250
FLC1,2016-01-04 00:00:00,860
FLC2,2016-01-04 00:00:00,310
H3,2016-01-04 00:00:00,50
LN1,2016-01-04 00:00:00,32
N1,2016-01-04 00:00:00,112
N3B,2016-01-04 00:00:00,110
N4,2016-01-04 00:00:00,104
N5,2016-01-04 00:00:00,NS
NR1,2016-01-04 00:00:00,160
